district,address,description,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
grunewald,"Grunewald, Berlin",Exklusives Penthouse im Grunewald,3940.0,175.0,3.0,1,1,0,0,0,0,0,0
mitte,"Gartenstraße 88, Mitte (Ortsteil), Berlin","Helle, wunderschöne 4-Zimmer Etagenwohnung mit zwei Terrassen",4030.0,147.0,4.0,1,1,0,0,0,0,0,0
karow,"Drei-Linien-Weg 99, Karow, Berlin","Elegante 3-Zimmer-Wohnung mit Terrasse, Wannenbad und Dusche",1404.41,72.86,3.0,1,1,0,0,0,0,0,0
charlottenburg,"Witzlebenplatz 2, Charlottenburg, Berlin",Schloßloft am Lietzensee mit Galerie und Seeblick!,2663.13,107.89,1.0,1,1,0,0,0,0,0,0
tiergarten,"Flottwellstraße 24, Tiergarten, Berlin",Penthouse-Wohnung mit Blick über Berlin!,2790.64,93.36,3.0,1,1,0,0,0,0,0,0
mitte,"Leipziger Str. 12, Mitte (Ortsteil), Berlin",5-Zimmerwohnung mit großer Terrasse im Herzen von Berlin,8627.22,343.41,5.0,1,1,0,0,0,0,0,0
mitte,"Wilhelmstr. 95, Mitte (Ortsteil), Berlin","Hochwertige, lichtdurchflutete 4-Zimmerwohnung im Herzen von Berlin",4335.96,168.8,4.0,1,1,0,0,0,0,0,0
wilmersdorf,"Wilmersdorf, Berlin",Belle Etage im Wohnquartier Güntzelkiez! 6-Zimmer-Altbau-Traum mit Balkon  auf 220m²!!,4300.0,220.5,7.0,1,1,0,0,0,0,0,0
alt-treptow,"Bouchéstraße 18, Alt-Treptow, Berlin",Wohnungstausch: Bouchéstraße 18,850.0,60.0,2.0,0,0,0,0,0,0,0,0
friedrichshain,"Stralauer Allee 17, Friedrichshain, Berlin",3 rooms apartment with terrace in Friedrichshain (Berlin),3230.0,108.0,3.0,1,1,0,0,0,0,0,0
prenzlauer berg,"Erich-Weinert-Straße 16, Prenzlauer Berg, Berlin",Studio apartment in Prenzlauer Berg (Berlin),1937.0,45.0,1.0,0,1,0,0,0,0,0,0
schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",2-Zimmer-Appartment mit Extra-Service!,2377.16,35.73,2.0,1,1,0,0,0,0,0,0
