district,address,description,landlord,total rent,area,number of rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible
Grunewald,"Grunewald, Berlin",Exklusives Penthouse im Grunewald,Private offer,3940,175,3,1,0,0,0,0,,0,0
Mitte,"Gartenstraße 88, Mitte (Ortsteil), Berlin","Helle, wunderschöne 4-Zimmer Etagenwohnung mit zwei Terrassen",Private offer,4030,147,4,1,0,0,0,0,,0,0
Karow,"Drei-Linien-Weg 99, Karow, Berlin","Elegante 3-Zimmer-Wohnung mit Terrasse, Wannenbad und Dusche",Estate agent,1404.41,72.86,3,1,0,0,0,0,,0,0
Charlottenburg,"Witzlebenplatz 2, Charlottenburg, Berlin",Schloßloft am Lietzensee mit Galerie und Seeblick!,Estate agent,2663.13,107.89,1,1,0,0,0,0,,0,0
Tiergarten,"Flottwellstraße 24, Tiergarten, Berlin",Penthouse-Wohnung mit Blick über Berlin!,Estate agent,2790.64,93.36,3,1,0,0,0,0,,0,0
Mitte,"Leipziger Str. 12, Mitte (Ortsteil), Berlin",5-Zimmerwohnung mit großer Terrasse im Herzen von Berlin,Estate agent,8627.22,343.41,5,1,0,0,0,0,,0,0
Mitte,"Wilhelmstr. 95, Mitte (Ortsteil), Berlin","Hochwertige, lichtdurchflutete 4-Zimmerwohnung im Herzen von Berlin",Estate agent,4335.96,168.8,4,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",Belle Etage im Wohnquartier Güntzelkiez! 6-Zimmer-Altbau-Traum mit Balkon  auf 220m²!!,Estate agent,4300,220.5,7,1,0,0,0,0,,0,0
Grünau,"Schlierseestraße 2, Grünau, Berlin",Sofort bezugsfreie 3-Zimmer Wohnung mit Privatgarten und Terrasse,Estate agent,2230,85.9,3,0,0,0,0,0,,0,0
Friedrichshain,"Stralauer Allee 17, Friedrichshain, Berlin",3 rooms apartment with terrace in Friedrichshain (Berlin),Estate agent,3230,108,3,1,0,0,0,0,,0,0
Prenzlauer Berg,"Erich-Weinert-Straße 16, Prenzlauer Berg, Berlin",Studio apartment in Prenzlauer Berg (Berlin),Estate agent,1937,45,1,1,0,0,0,0,,0,0
Schmargendorf,"Karlsbader Straße 16, Schmargendorf, Berlin",2-Zimmer-Appartment mit Extra-Service!,Estate agent,2377.16,35.73,2,1,0,0,0,0,,0,0
Wilhelmstadt,"Zimmerstraße 2, Wilhelmstadt, Berlin",Erstbezug mit Einbauküche: exklusive 1-Zimmer-Wohnung in Berlin,Estate agent,785.4,42,1,1,1,0,0,0,,0,0
Friedrichsfelde,"Mellenseestraße 38, Friedrichsfelde, Berlin",Geräumige 3 Zimmer Wohnung mit viel potenzial zu vermieten! Ab sofort,Estate agent,670.86,76.55,3,0,0,0,1,0,,0,0
Britz,"Buckower Damm 255 a -, Britz, Berlin",Geräumige 3-Zimmer Wohnung mit weitläufigem Balkon zu vermieten! Ab sofort!,Estate agent,908.19,80.79,3,0,0,0,0,1,,0,0
Britz,"Buckower Damm 255 a -, Britz, Berlin",3-Zimmer Wohnung zur freien Gestaltung zu vermieten! Ab sofort!,Estate agent,1020.69,81.1,3,0,0,0,1,0,,0,0
Buckow,"Heideläuferweg 32, Buckow, Berlin",Familienwohnung mit viel Potenzial zu vermieten! Ab sofort!,Estate agent,922.33,78.21,3,0,0,0,0,1,,0,0
Spandau,"Seegefelder Str. 59, Spandau (Ortsteil), Berlin",3-Zimmer Altbauwohnung mit Balkon in Spandau zur freien Gestaltung,Estate agent,774.45,82.7,3,0,0,0,0,0,,0,0
Gesundbrunnen,"Bastianstr. 22, Gesundbrunnen, Berlin",Großzügige 2-Zimmer Altbauwohnung mit Flügeltüren & Stuck im Weddinger Kiez!,Estate agent,607.61,55,2,0,0,0,0,0,,0,0
Gesundbrunnen,"Drontheimer Str. 20, Gesundbrunnen, Berlin",Großzügiger 2-Zimmer DG-Traum mit Dachterrasse im Kultbezirk Wedding,Estate agent,810.04,76,2,0,0,0,0,0,,0,0
Alt-Hohenschönhausen,"Arendsweg 1, Alt-Hohenschönhausen, Berlin",Moderne 3 Zimmer Wohnung mit 2 Balkonen sucht SIE! Ab sofort!,Estate agent,683.92,79.98,3,1,0,0,0,0,,0,0
Hakenfelde,"Mertensstr. 5b, Hakenfelde, Berlin",2-Zimmer Wohnung mit Potential in ruhiger Lage von Spandau,Estate agent,517.57,54.07,2,0,0,0,0,0,,0,0
Moabit,"Rathenower Str. 22, Moabit, Berlin",Heimwerker aufgepasst: 2-Zimmer-Wohnung in Moabit sucht SIE!,Estate agent,564.8,57.5,2,0,0,0,0,0,,0,0
Schöneberg,"Dennewitzstr. 43, Schöneberg, Berlin",Großzügige 3-Zimmerwohnung mit Balkon und Wintergarten am Gleisdreieck,Estate agent,3092,94.06,3,1,1,0,0,0,,0,0
Kreuzberg,"Dennewitzstr. 42, Kreuzberg, Berlin",Wohnen im Neubau - Großzügige 2-Zimmerwohnung mit Balkon und Wintergarten,Estate agent,2828,86.45,2,1,1,0,0,0,,0,0
Schöneberg,"Dennewitzstr. 43, Schöneberg, Berlin",Metropolitan: Außergewöhnliche 360 Grad Dachgeschosswohnung am Gleisdreick!,Estate agent,6017,176.6,4,1,0,0,0,0,,0,0
Rahnsdorf,"Rahnsdorf, Berlin","RIVERSIDE - mit Wasserblick, direktem Wasserzugang und Südbalkon",Estate agent,1704,80.37,3,1,0,0,0,0,,0,0
Schöneberg,"Dennewitzstr. 43, Schöneberg, Berlin",Mittendrin in Berlin - 2-Zimmerwohnung mit EBK,Estate agent,2036,62.11,2,1,1,0,0,0,,0,0
Hakenfelde,"Hakenfelde, Berlin",MODERESIERT IM BESCHAULICHEM SPANDAU,Estate agent,2380,114,3,1,0,0,0,0,,0,0
Mitte,"Auguststraße 47 A, Mitte (Ortsteil), Berlin",Über dem Gipsdreieck - Erstbezug DG mit Lift und Klimaanlage im Herzen des Scheunenviertels,Estate agent,3338.34,73.37,3,1,0,0,0,0,,0,0
Köpenick,"Köpenick, Berlin",MODERNE MAISONETTE AN DER SPREE,Estate agent,2400,120,3,1,0,0,0,0,,0,0
Karlshorst,"Karlshorst, Berlin","HOCHWERTIG SANIERT, 2BALKONE & EINBAUKÜCHE",Estate agent,2970,106,4,1,0,0,0,0,,0,0
Mitte,"Torstraße 101, Mitte (Ortsteil), Berlin",Traumhafte Altbauwohnung,Estate agent,3000,92.85,3,1,0,0,0,0,,0,0
Mahlsdorf,"Mahlsdorf, Berlin","HOCHMODERNES, MÖBLIERTES WOHNEN IM GRÜNEN",Estate agent,2600,111,3,1,0,0,0,0,,0,0
Wilmersdorf,"Wilmersdorf, Berlin",ELEGANTE WOHNUNG IN WILMERSDORF,Estate agent,3000,106,3,1,1,0,0,0,,0,0
Hakenfelde,"Pembabogen 25, Hakenfelde, Berlin",WUNDERSCHÖNE PENTHOUSE-WOHNUNG MIT DACHTERRASSE UND BLICK AUF DIE HAVEL! ERSTBEZUG! EFFIZIENZHAUS 55,Estate agent,3078.5,131,4,0,0,0,0,1,,0,0
Friedenau,"Friedenau, Berlin",Wunderschöne sanierte 3 Zimmerwohnung - mit Stellplatz,Estate agent,2350,87,3,1,0,0,0,0,,0,0
