"result-list-entry__brand-title-container href","result-list-entry__brand-title","result-list-entry__brand-logo-container href","font-s href","block","result-list-entry__brand-logo-container href 2","slick-slide href","image-index-label","gallery__count","total-media-count-label","result-list-entry__map-link","result-list-entry__criteria href","font-highlight","font-highlight 2","onlySmall","onlyLarge","font-tabular 3","margin-top-none","margin-top-none 2","margin-top-none 3","block 2","result-list-entry__new-flag","onlySmall 2"
"https://www.immobilienscout24.de/expose/138511876","Exklusives Penthouse im Grunewald","https://www.immobilienscout24.de/expose/138511876","https://www.immobilienscout24.de/expose/138511876","Privatangebot","https://www.immobilienscout24.de/expose/138511876","https://www.immobilienscout24.de/expose/138511876","1","/","16","Grunewald, Berlin","https://www.immobilienscout24.de/expose/138511876","3.940 €","175 m²","3 Zi.","3","Zi.","Balkon/Terrasse","Einbauküche","...","Privatangebot","",""
"https://www.immobilienscout24.de/expose/139935844","Helle, wunderschöne 4-Zimmer Etagenwohnung mit zwei Terrassen","https://www.immobilienscout24.de/expose/139935844","https://www.immobilienscout24.de/expose/139935844","Privatangebot","https://www.immobilienscout24.de/expose/139935844","https://www.immobilienscout24.de/expose/139935844","1","/","16","Gartenstraße 88, Mitte (Ortsteil), Berlin","https://www.immobilienscout24.de/expose/139935844","~4.030 €","147 m²","4 Zi.","4","Zi.","Balkon/Terrasse","Einbauküche","...","Privatangebot","NEU","NEU"
"https://www.immobilienscout24.de/expose/139965071","Elegante 3-Zimmer-Wohnung mit Terrasse, Wannenbad und Dusche","https://www.immobilienscout24.de/expose/139965071","https://www.immobilienscout24.de/expose/139965071","Herr Sascha Biß","https://www.immobilienscout24.de/expose/139965071","https://www.immobilienscout24.de/expose/139965071","1","/","2","Drei-Linien-Weg 99, Karow, Berlin","https://www.immobilienscout24.de/expose/139965071","1.404,41 €","72,86 m²","3 Zi.","3","Zi.","Balkon/Terrasse","Einbauküche","...","Herr Sascha Biß","NEU","NEU"
"https://www.immobilienscout24.de/expose/121744828","Schloßloft am Lietzensee mit Galerie und Seeblick!","https://www.immobilienscout24.de/expose/121744828","https://www.immobilienscout24.de/expose/121744828","Frau Christine Adler","https://www.immobilienscout24.de/expose/121744828","https://www.immobilienscout24.de/expose/121744828","1","/","9","Witzlebenplatz 2, Charlottenburg, Berlin","https://www.immobilienscout24.de/expose/121744828","2.663,13 €","107,89 m²","1 Zi.","1","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Christine Adler","",""
"https://www.immobilienscout24.de/expose/140102355","Penthouse-Wohnung mit Blick über Berlin!","https://www.immobilienscout24.de/expose/140102355","https://www.immobilienscout24.de/expose/140102355","Frau Isabelle Mienes","https://www.immobilienscout24.de/expose/140102355","https://www.immobilienscout24.de/expose/140102355","1","/","10","Flottwellstraße 24, Tiergarten, Berlin","https://www.immobilienscout24.de/expose/140102355","2.790,64 €","93,36 m²","3 Zi.","3","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Isabelle Mienes","NEU","NEU"
"https://www.immobilienscout24.de/expose/105850244","5-Zimmerwohnung mit großer Terrasse im Herzen von Berlin","https://www.immobilienscout24.de/expose/105850244","https://www.immobilienscout24.de/expose/105850244","Frau Marie-Josephine Wahn","https://www.immobilienscout24.de/expose/105850244","https://www.immobilienscout24.de/expose/105850244","1","/","10","Leipziger Str. 12, Mitte (Ortsteil), Berlin","https://www.immobilienscout24.de/expose/105850244","8.627,22 €","343,41 m²","5 Zi.","5","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Marie-Josephine Wahn","",""
"https://www.immobilienscout24.de/expose/108374039","Hochwertige, lichtdurchflutete 4-Zimmerwohnung im Herzen von Berlin","https://www.immobilienscout24.de/expose/108374039","https://www.immobilienscout24.de/expose/108374039","Frau Marie-Josephine Wahn","https://www.immobilienscout24.de/expose/108374039","https://www.immobilienscout24.de/expose/108374039","1","/","11","Wilhelmstr. 95, Mitte (Ortsteil), Berlin","https://www.immobilienscout24.de/expose/108374039","4.335,96 €","168,8 m²","4 Zi.","4","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Marie-Josephine Wahn","NEU","NEU"
"https://www.immobilienscout24.de/expose/139453800","Belle Etage im Wohnquartier Güntzelkiez! 6-Zimmer-Altbau-Traum mit Balkon  auf 220m²!!","","https://www.immobilienscout24.de/expose/139453800","Frau Sabine Woide Immobilien","","https://www.immobilienscout24.de/expose/139453800","1","/","22","Wilmersdorf, Berlin","https://www.immobilienscout24.de/expose/139453800","4.300 €","220,5 m²","7 Zi.","7","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Sabine Woide Immobilien","",""
"https://www.immobilienscout24.de/expose/140207782","Wohnungstausch: Bouchéstraße 18","https://www.immobilienscout24.de/expose/140207782","https://www.immobilienscout24.de/expose/140207782","Wohnungsswap .de","https://www.immobilienscout24.de/expose/140207782","https://www.immobilienscout24.de/expose/140207782","1","/","14","Bouchéstraße 18, Alt-Treptow, Berlin","https://www.immobilienscout24.de/expose/140207782","~850 €","60 m²","2 Zi.","2","Zi.","","","","Wohnungsswap .de","NEU","NEU"
"https://www.immobilienscout24.de/expose/139458897","3 rooms apartment with terrace in Friedrichshain (Berlin)","https://www.immobilienscout24.de/expose/139458897","https://www.immobilienscout24.de/expose/139458897","Frau Julia Morgan","https://www.immobilienscout24.de/expose/139458897","https://www.immobilienscout24.de/expose/139458897","1","/","27","Stralauer Allee 17, Friedrichshain, Berlin","https://www.immobilienscout24.de/expose/139458897","3.230 €","108 m²","3 Zi.","3","Zi.","Balkon/Terrasse","Einbauküche","...","Frau Julia Morgan","",""
