,district,mean m2
0,Westend,51.26393888
1,Oberschöneweide,46.04274254
2,Mitte,41.8575539
3,Schmargendorf,40.45099285
4,Tiergarten,37.4201159
5,Schöneberg,35.95396361
6,Moabit,35.44139034
7,Charlottenburg,35.16285203
8,Wedding,34.10331525
9,Tempelhof,33.96071991
10,Bohnsdorf,33.053452
11,Kreuzberg,32.3967661
12,Wilmersdorf,32.16349127
13,Prenzlauer Berg,32.02213164
14,Friedrichshain,31.12242985
15,Gatow,30.36042747
16,Gesundbrunnen,30.30141941
17,Halensee,29.44424665
18,Plänterwald,29.22594875
19,Wilhelmsruh,28.47672977
20,Fennpfuhl,27.92304653
21,Pankow,27.87333109
22,Schmöckwitz,27.49750737
23,Hansaviertel,27.47222222
24,Karlshorst,26.92213397
25,Neukölln,25.98789504
26,Heinersdorf,25.91729788
27,Marienfelde,25.585485
28,Wannsee,25.35796935
29,Niederschöneweide,24.33723391
30,Staaken,24.33396777
31,Grünau,24.27190687
32,Steglitz,23.90381774
33,Mariendorf,23.55581429
34,Lichterfelde,23.51712097
35,Rahnsdorf,23.49265101
36,Französisch Buchholz,23.45538409
37,Biesdorf,23.22517604
38,Dahlem,23.20252715
39,Friedenau,23.17801575
40,Grunewald,23.12633102
41,Weißensee,22.96386084
42,Johannisthal,22.58265278
43,Nikolassee,22.57905138
44,Falkenberg,22.48631498
45,Wittenau,22.37281949
46,Rummelsburg,22.2822236
47,Alt-Treptow,22.27359243
48,Lichtenberg,22.21672041
49,Tegel,21.93105044
50,Köpenick,21.70768684
51,Heiligensee,21.6519669
52,Reinickendorf,21.59638683
53,Konradshöhe,21.54545455
54,Mahlsdorf,21.13609557
55,Blankenburg,21.11111111
56,Lankwitz,21.10418152
57,Spandau,21.07814821
58,Lichtenrade,20.84352191
59,Haselhorst,20.83772667
60,Niederschönhausen,20.81513657
61,Rosenthal,20.62729011
62,Friedrichshagen,20.41082347
63,Friedrichsfelde,20.1777601
64,Hakenfelde,19.9041851
65,Siemensstadt,19.52813447
66,Borsigwalde,19.49631953
67,Karow,19.33383254
68,Zehlendorf,19.25704858
69,Hermsdorf,19.05024326
70,Altglienicke,18.29711973
71,Britz,17.88363702
72,Lübars,17.85714286
73,Müggelheim,17.53878034
74,Wilhelmstadt,17.22031565
75,Falkenhagener Feld,17.21483656
76,Kaulsdorf,16.95998041
77,Buckow,16.16173286
78,Adlershof,15.69829006
79,Buch,15.44286717
80,Baumschulenweg,14.21428571
81,Alt-Hohenschönhausen,13.40577508
82,Neu-Hohenschönhausen,13.1958301
83,Charlottenburg-Nord,13.11798965
84,Marzahn,12.62377581
85,Hellersdorf,12.09610629
86,Gropiusstadt,9.551235033
87,Märkisches Viertel,9.230769231
88,Stadtrandsiedlung Malchow,0
89,Blankenfelde,0
90,Kladow,0
91,Rudow,0
92,Malchow,0
93,Wartenberg,0
94,Frohnau,0
95,Waidmannslust,0
